,Text,Tag,Value,doc_id,ID,Prediction
28,入札参加資格は、次の条件を満たす者であること。,,,300351407,300351407-29,
29,（１）機構の「競争参加者の資格に関する公示」の「３ 競争に参加することができない者」に,,,300351407,300351407-30,
30,該当しない者であること。,,,300351407,300351407-31,
31,（２）国の平成２８･２９･３０年度競争参加資格（全省庁統一資格）のうち、「物品の販売（そ,,,300351407,300351407-32,
32,の他（電力））」で「Ａ」、「Ｂ」若しくは「Ｃ」の等級に格付けされている者であること。,,,300351407,300351407-33,
33,なお、当該資格を有しない者にあっては、入札日までに競争参加資格審査を受け、当該等級,,,300351407,300351407-34,
34,が格付けされた者であること。,,,300351407,300351407-35,
35,（３）本邦法人であること。,,,300351407,300351407-36,
36,- 1 -,,,300351407,300351407-37,
37,（４）現在、国又は政府関係機関等から補助金交付の停止又は契約に係る指名停止等の行政処分,,,300351407,300351407-38,
38,を受けていないこと。,,,300351407,300351407-39,
39,（５）電気事業法第２条の２の規定に基づく小売電気事業の登録を受けている者であること。,,,300351407,300351407-40,
40,（６）白島国家石油備蓄基地（本土側事務所及び白島展示館）に設置した受電設備及び使用する,,,300351407,300351407-41,
41,負荷設備に対し、電力供給が可能な者であること。,,,300351407,300351407-42,
42,（７）省ＣＯ 化の要素を考慮する観点から、入札説明書に記載する基準により「裾切り方式」 ２,,,300351407,300351407-43,
43,を実施し条件を満たす者であること。,,,300351407,300351407-44,
44,（８）一般競争入札参加申請書を提出し、入札参加資格の通知を受けた者であること。,,,300351407,300351407-45,
45,３．一般競争入札参加申請書の提出場所等,,,300351407,300351407-46,
46,（１）一般競争入札参加申請書の提出場所及び問い合わせ先,,,300351407,300351407-47,
47,〒105-0001 東京都港区虎ノ門二丁目１０番１号,質問箇所所属/担当者,先〒105-0001東京都港区虎ノ門二丁目10番1号独立行政法人石油天然ガス・金属鉱物資源機構石油備蓄部基地管理課若田健次,300351407,300351407-48,
48,独立行政法人石油天然ガス・金属鉱物資源機構,,,300351407,300351407-49,
49,石油備蓄部 基地管理課 若田 健次,,,300351407,300351407-50,
50,（電 話） ０３－６７５８－８５１７,,,300351407,300351407-51,
51,（ＦＡＸ） ０３－６７５８－８０６４,質問箇所TEL/FAX,話)03-6758-8517(FAX)03-6758-8064,300351407,300351407-52,
52,（Ｅmail）wakata-kenji@jogmec.go.jp,,,300351407,300351407-53,
53,（２）入札説明書等の交付,,,300351407,300351407-54,
54,入札説明書は機構ホームページに公示する。,,,300351407,300351407-55,
55,（３）入札説明会開催の有無：無,,,300351407,300351407-56,
56,（４）一般競争入札参加申請書の提出期限,,,300351407,300351407-57,
57,平成３０年２月５日（月）１２時までに郵送若しくは持ち込みにより提出のこと。,資格申請締切日時,平成30年2月5日(月)12時,300351407,300351407-58,
58,（５）入札参加資格通知日 平成３０年２月５日（月）～平成３０年２月６日（火）,仕様書交付期限,平成30年2月6日(火)4,300351407,300351407-59,
59,４．入札日時、場所,,,300351407,300351407-60,
60,（１）入札日時：平成３０年２月８日（木）１５時１０分,開札日時,平成30年2月8日(木)15時10分,300351407,300351407-61,
61,（２）入札場所：東京都港区虎ノ門二丁目１０番１号 虎ノ門ツインビルディング,開札場所,東京都港区虎ノ門二丁目10番1号虎ノ門ツインビルディング独立行政法人石油天然ガス・金属鉱物資源機構13階会議室,300351407,300351407-62,
62,独立行政法人石油天然ガス・金属鉱物資源機構 １３階会議室,,,300351407,300351407-63,
63,５．その他,,,300351407,300351407-64,
64,（１）契約手続において使用する言語及び通貨,,,300351407,300351407-65,
65,日本語及び日本国通貨。,,,300351407,300351407-66,
66,（２）入札保証金及び契約保証金 全額免除。,,,300351407,300351407-67,
67,（３）入札者に要求される事項,,,300351407,300351407-68,
68,① この競争に参加を希望する者は、本公告に示した調達品を納入できることを証明する書,,,300351407,300351407-69,
69,類を入札参加申請書に添付して提出しなければならない。,,,300351407,300351407-70,
70,② 入札者は、入札参加資格の通知の前日までの間において、契約担当役から上の書類に関,,,300351407,300351407-71,
71,し照会があった場合には、それに応じなければならない。,,,300351407,300351407-72,
72,（４）入札の無効 本公告に示した競争参加資格のない者の提出した入札書及び入札に関する条,,,300351407,300351407-73,
73,件に違反した者の提出した入札書は無効とする。,,,300351407,300351407-74,
74,- 2 -,,,300351407,300351407-75,
75,（５）契約書作成の要否 要。,,,300351407,300351407-76,
76,（６）落札者の決定方法,,,300351407,300351407-77,
77,入札参加資格の通知を受けた者であって、予定価格の制限の範囲内で最低価格をもって有,,,300351407,300351407-78,
78,効な入札を行った者を落札者とする。ただし、落札者となるべき者の入札価格によっては、,,,300351407,300351407-79,
79,その者により当該契約の内容に適合した履行がなされない恐れがあると認められるとき又,,,300351407,300351407-80,
80,はその者と契約を締結することが公正な取引の秩序を乱すこととなる恐れがあって著しく,,,300351407,300351407-81,
81,不適当であると認められるときは、予定価格の制限の範囲内の価格をもって入札した他の者,,,300351407,300351407-82,
82,のうち最低の価格をもって入札した者を落札者とすることがある。,,,300351407,300351407-83,
83,（７）手続きにおける交渉の有無 無。,,,300351407,300351407-84,
84,（８）詳細は入札説明書による。,,,300351407,300351407-85,
85,（９）本事業に係る契約締結は、機構が平成３０年度国家備蓄石油管理等業務を受託することを,,,300351407,300351407-86,
86,条件とします。,,,300351407,300351407-87,
87,○契約の公表に係る留意事項,,,300351407,300351407-88,
88,独立行政法人が行う契約については、「独立行政法人の事務・事業の見直しの基本方針」（平成,,,300351407,300351407-89,
89,２２年１２月７日閣議決定）において、独立行政法人と一定の関係を有する法人と契約をする場,,,300351407,300351407-90,
90,合には、当該法人への再就職の状況、当該法人との間の取引等の状況について情報を公開するな,,,300351407,300351407-91,
91,どの取組を進めるとされているところです。,,,300351407,300351407-92,
92,これに基づき、以下のとおり、機構との関係に係る情報を機構のホームページで公表すること,,,300351407,300351407-93,
93,としますので、所要の情報の当方への提供及び情報の公表に同意の上で、応札若しくは応募又は,,,300351407,300351407-94,
94,契約の締結を行っていただくよう御理解と御協力をお願いいたします。,,,300351407,300351407-95,
95,なお、案件への応札若しくは応募又は契約の締結をもって同意されたものとみなさせていただ,,,300351407,300351407-96,
96,きますので、ご了知願います。,,,300351407,300351407-97,
97,（１）公表の対象となる契約先,,,300351407,300351407-98,
98,次のいずれにも該当する契約先,,,300351407,300351407-99,
99,① 機構において役員を経験した者（役員経験者）が再就職していること又は課長相当職以,,,300351407,300351407-100,
100,上の職を経験した者（課長相当職以上経験者）が役員、顧問等として再就職していること,,,300351407,300351407-101,
101,② 機構との間の取引高が、総売上高又は事業収入の３分の１以上を占めていること,,,300351407,300351407-102,
102,※ 予定価格が一定の金額を超えない契約や光熱水費の支出に係る契約等は対象外,,,300351407,300351407-103,
103,（２）公表する情報,,,300351407,300351407-104,
104,上記に該当する契約先について、契約ごとに、物品役務等の名称及び数量、契約締結日、,,,300351407,300351407-105,
105,契約先の名称、契約金額等と併せ、次に掲げる情報を公表します。,,,300351407,300351407-106,
106,① 機構の役員経験者及び課長相当職以上経験者（機構ＯＢ）の人数、職名及び機構におけ,,,300351407,300351407-107,
107,る最終職名,,,300351407,300351407-108,
108,② 機構との間の取引高,,,300351407,300351407-109,
109,③ 総売上高又は事業収入に占める機構との間の取引高の割合が、次の区分のいずれかに該,,,300351407,300351407-110,
110,当する旨,,,300351407,300351407-111,
111,３分の１以上２分の１未満、２分の１以上３分の２未満又は３分の２以上,,,300351407,300351407-112,
112,④ 一者応札又は一者応募である場合はその旨,,,300351407,300351407-113,
113,- 3 -,,,300351407,300351407-114,
114,（３）当方に提供していただく情報,,,300351407,300351407-115,
115,① 契約締結日時点で在職している機構ＯＢに係る情報（人数、現在の職名及び機構におけ,,,300351407,300351407-116,
116,る最終職名等）,,,300351407,300351407-117,
117,② 直近の事業年度における総売上高又は事業収入及び機構との間の取引高,,,300351407,300351407-118,
118,（４）公表日,,,300351407,300351407-119,
119,契約締結日の翌日から起算して原則として９３日以内,,,300351407,300351407-120,
0,入 札 公 告,,,300351410,300351410-1,
1,次のとおり一般競争入札に付します。,,,300351410,300351410-2,
2,平成３０年１月１８日,公告日,平成30年1月18日,300351410,300351410-3,
3,独立行政法人石油天然ガス・金属鉱物資源機構,,,300351410,300351410-4,
4,契約担当役 資源備蓄本部長 渡辺 正俊,,,300351410,300351410-5,
5,１．調達内容,,,300351410,300351410-6,
6,（１）件名及び予定数量等,,,300351410,300351410-7,
7,購入件名：上五島国家石油備蓄基地 高圧電力購入（平成３０年度）,入札件名,上五島国家石油備蓄基地高圧電力購入(平成30年度)契約,300351410,300351410-8,
8,契約電力：５９０ｋＷ 年間予定使用電力量：３，０９０千ｋＷｈ,,,300351410,300351410-9,
9,（２）件名の特質等 入札説明書による。,,,300351410,300351410-10,
10,（３）契約期間 平成３０年４月１日から平成３１年３月３１日,調達年度;調達終了日;調達開始日,平成30年;平成31年3月31日;平成30年4月1日,300351410,300351410-11,
11,（４）需要場所 長崎県南松浦郡新上五島町続浜ノ浦郷字折島８１８番４１１,都道府県;需要場所(住所),長崎県南;長崎県南松浦郡新上五島町続浜ノ浦郷字折島818番411,300351410,300351410-12,
12,上五島国家石油備蓄基地,施設名,上五島国家石油備蓄基地,300351410,300351410-13,
13,（５）入札方法 入札金額は、各社において設定する契約電力に対する単一の単価（ｋＷ単,,,300351410,300351410-14,
14,価）及び使用電力量に対する単価（ｋＷｈ単価）を記載すること（その他、,,,300351410,300351410-15,
15,単価内訳がある場合、該当するものの内訳を別途提出すること。）また、託送,,,300351410,300351410-16,
16,料が必要な事業者にあっては、その内訳を記載すること（小数点以下を含む,,,300351410,300351410-17,
17,ことができる。）,,,300351410,300351410-18,
18,落札の決定に当たっては、独立行政法人石油天然ガス・金属鉱物資源機構,,,300351410,300351410-19,
19,（以下「機構」という。）が提示する計画使用電力量を基に計算した総価で行,,,300351410,300351410-20,
20,うので、当該総価を上記の単価と併せて記載すること（各社において、電力,,,300351410,300351410-21,
21,料金における各種サービスがある場合には、その金額を織り込んだものを総,,,300351410,300351410-22,
22,価とすること。）,,,300351410,300351410-23,
23,なお、入札者は、消費税及び地方消費税に係る課税業者であるか免税業者,,,300351410,300351410-24,
24,であるかを問わず、入札書には入札者が見積もった価格の１０８分の１００,,,300351410,300351410-25,
25,に該当する金額を入札書に記載すること。,,,300351410,300351410-26,
26,２．競争参加資格,,,300351410,300351410-27,
27,入札参加資格は、次の条件を満たす者であること。,,,300351410,300351410-28,
28,（１）機構の「競争参加者の資格に関する公示」の「３ 競争に参加することができない者」に,,,300351410,300351410-29,
29,該当しない者であること。,,,300351410,300351410-30,
30,（２）国の平成２８･２９･３０年度競争参加資格（全省庁統一資格）のうち、「物品の販売」で,,,300351410,300351410-31,
31,「Ａ」の等級に格付けされている者であること。,,,300351410,300351410-32,
32,なお、当該資格を有しない者にあっては、入札日までに競争参加資格審査を受け、当該等,,,300351410,300351410-33,
33,級が格付けされた者であること。,,,300351410,300351410-34,
34,（３）本邦法人であること。,,,300351410,300351410-35,
35,（４）現在、国又は政府関係機関等から補助金交付の停止又は契約に係る指名停止等の行政処,,,300351410,300351410-36,
36,- 1 -,,,300351410,300351410-37,
37,分を受けていないこと。,,,300351410,300351410-38,
38,（５）電気事業法第２条の２の規定に基づく小売電気事業の登録を受けている者であること。,,,300351410,300351410-39,
39,（６）上五島国家石油備蓄基地の受電設備及び使用する負荷設備に対し、電力供給が可能な者,,,300351410,300351410-40,
40,であること。,,,300351410,300351410-41,
41,（７）省ＣＯ 化の要素を考慮する観点から、入札説明書に記載する基準により「裾切り方式」 ２,,,300351410,300351410-42,
42,を実施し条件を満たす者であること。,,,300351410,300351410-43,
43,（８）一般競争入札参加申請書を提出し、入札参加資格の通知を受けた者であること。,,,300351410,300351410-44,
44,３．一般競争入札参加申請書の提出場所等,,,300351410,300351410-45,
45,（１）一般競争入札参加申請書の提出場所及び問い合わせ先,,,300351410,300351410-46,
46,〒105-0001 東京都港区虎ノ門二丁目１０番１号,質問箇所所属/担当者,〒105-0001東京都港区虎ノ門二丁目10番1号独立行政法人石油天然ガス・金属鉱物資源機構石油備蓄部基地管理課三谷守俊(,300351410,300351410-47,
47,独立行政法人石油天然ガス・金属鉱物資源機構,,,300351410,300351410-48,
48,石油備蓄部 基地管理課 三谷 守俊,,,300351410,300351410-49,
